scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bear,0.25,193.51991158787854,-0.17546325757471404,,193.51991158787854,-0.618890244617987,0.054532922019239635,0.025,valid,True,BRK-B,insurance,507.78,
base,0.5,734.2193406010745,0.07653968937246192,,734.2193406010745,0.4459398570268118,0.13704863806039103,0.025,valid,True,BRK-B,insurance,507.78,
bull,0.25,1140.2133027623543,0.1756068351579252,,1140.2133027623543,1.2454868304430153,0.19900705839248375,0.025,valid,True,BRK-B,insurance,507.78,
bear,0.25,144.96744730142595,-0.1539760370018446,,144.96744730142595,-0.5665756351797593,0.10310767488802763,0.025,valid,True,JPM,bank,334.47,
base,0.5,245.7350518331072,-0.05979623111267596,,245.7350518331072,-0.2653001709178485,0.1574007140531622,0.025,valid,True,JPM,bank,334.47,
bull,0.25,302.6824176640083,-0.019774480669517036,,302.6824176640083,-0.09503866515978032,0.18808364611032238,0.025,valid,True,JPM,bank,334.47,
bear,0.25,20.41065215318357,-0.19053257544925983,,20.41065215318357,-0.65246633486832,0.0654848946672089,0.025,valid,True,BAC,bank,58.73,
base,0.5,38.11867845793681,-0.08281790711002923,,38.11867845793681,-0.3509504774742582,0.10060908248500378,0.025,valid,True,BAC,bank,58.73,
bull,0.25,48.21832266265354,-0.03867459499141068,,48.21832266265354,-0.17898309786048794,0.12064190793004807,0.025,valid,True,BAC,bank,58.73,
bear,0.25,37.56221901704222,-0.15170507883658513,,37.56221901704222,-0.5607271779085228,0.06930626712072673,0.025,valid,True,WFC,bank,85.51,
base,0.5,72.1507647435704,-0.033404416538401094,,72.1507647435704,-0.1562300930467735,0.1101049575703439,0.025,valid,True,WFC,bank,85.51,
bull,0.25,92.73749944012587,0.016360305271360787,,92.73749944012587,0.08452227154865932,0.13438790438440948,0.025,valid,True,WFC,bank,85.51,
bear,0.25,17.31769269591271,-0.3415981943680838,,17.31769269591271,-0.8762756826754825,0.03649441774981295,0.025,valid,True,C,bank,139.97,
base,0.5,63.59377680205816,-0.14596448506186266,,63.59377680205816,-0.5456613788521958,0.06720963206165122,0.025,valid,True,C,bank,139.97,
bull,0.25,94.68097818813743,-0.07520482605655565,,94.68097818813743,-0.32356234773067494,0.0878434015642418,0.025,valid,True,C,bank,139.97,
bear,0.25,51.59792933196386,-0.262228330746787,,51.59792933196386,-0.7814202773364235,,0.025,valid,True,WELL,reit,236.06,0.039999999999999994
base,0.5,96.59873042861308,-0.16364664544513563,,96.59873042861308,-0.5907873827475512,,0.025,valid,True,WELL,reit,236.06,0.06
bull,0.25,96.59873042861308,-0.16364664544513563,,96.59873042861308,-0.5907873827475512,,0.025,valid,True,WELL,reit,236.06,0.06
bear,0.25,58.95433856042081,-0.2398081134946305,,58.95433856042081,-0.7461272131581225,0.07634698720976336,0.025,valid,True,PGR,insurance,232.22,
base,0.5,192.29782686776716,-0.03702513599185209,,192.29782686776716,-0.17191530932836463,0.19248409528036692,0.025,valid,True,PGR,insurance,232.22,
bull,0.25,292.4910570860741,0.04723125223881053,,292.4910570860741,0.25954292087707387,0.2797485890589154,0.025,valid,True,PGR,insurance,232.22,
bear,0.25,71.44906784222407,-0.12516113602662948,,71.44906784222407,-0.48756316544341916,,0.025,valid,True,PLD,reit,139.43,0.039999999999999994
base,0.5,101.04909162480318,-0.06236191915857592,,101.04909162480318,-0.27527008803841946,,0.025,valid,True,PLD,reit,139.43,0.06
bull,0.25,101.04909162480318,-0.06236191915857592,,101.04909162480318,-0.27527008803841946,,0.025,valid,True,PLD,reit,139.43,0.06
bear,0.25,21.640969551840612,-0.3179492359557423,,21.640969551840612,-0.8524009715465788,0.050176013625909094,0.025,valid,True,BNY,bank,146.62,
base,0.5,53.59484087830494,-0.1823151445715031,,53.59484087830494,-0.6344643235690565,0.08734953757494074,0.025,valid,True,BNY,bank,146.62,
bull,0.25,74.28603548925491,-0.1271436147880738,,74.28603548925491,-0.493343094466956,0.11142063088773126,0.025,valid,True,BNY,bank,146.62,
bear,0.25,108.1671075123094,-0.15392587264646684,,108.1671075123094,-0.5664471220798053,0.07128627375882023,0.025,valid,True,PNC,bank,249.49,
base,0.5,196.64636939449804,-0.0464871330185852,,196.64636939449804,-0.21180660790212824,0.1091478328930633,0.025,valid,True,PNC,bank,249.49,
bull,0.25,246.86524299139148,-0.0021130087301043377,,246.86524299139148,-0.010520489833694802,0.13063721709334689,0.025,valid,True,PNC,bank,249.49,
bear,0.25,28.4745887013322,-0.14337205765917194,,28.4745887013322,-0.5387236562233566,0.07247144988489887,0.025,valid,True,USB,bank,61.73,
base,0.5,53.82963494830863,-0.027017494663168606,,53.82963494830863,-0.12798258629015657,0.11474215025804672,0.025,valid,True,USB,bank,61.73,
bull,0.25,68.86089012751842,0.022104431075439912,,68.86089012751842,0.11551741661296644,0.13980152809248755,0.025,valid,True,USB,bank,61.73,
bear,0.25,105.01171272354087,-0.10070859578461355,,105.01171272354087,-0.4118308909849845,0.1969166916809465,0.025,valid,True,MRSH,insurance,178.54,
base,0.5,161.82325240292937,-0.019469563621485997,,161.82325240292937,-0.09363026547031827,0.2899239543726236,0.025,valid,True,MRSH,insurance,178.54,
bull,0.25,167.9779939726138,-0.01212186762141032,,167.9779939726138,-0.05915764549897051,0.3,0.025,valid,True,MRSH,insurance,178.54,
bear,0.25,74.9856857296822,-0.14698167720697142,,74.9856857296822,-0.5483606232025404,,0.025,valid,True,AMT,reit,166.03,-0.01891551106622445
base,0.5,93.83200148752803,-0.10786026579034902,,93.83200148752803,-0.43484911469295895,,0.025,valid,True,AMT,reit,166.03,0.0010844889337755514
bull,0.25,123.70511450844978,-0.05715518401326125,,123.70511450844978,-0.2549231192648932,,0.025,valid,True,AMT,reit,166.03,0.021084488933775552
bear,0.25,106.54207906074204,-0.13968105053482371,,106.54207906074204,-0.528699995307697,,0.025,valid,True,SPG,reit,226.06,0.02271490465317973
base,0.5,139.89146262332216,-0.09152391868673304,,139.89146262332216,-0.3811755170161809,,0.025,valid,True,SPG,reit,226.06,0.04271490465317973
bull,0.25,189.30088727207286,-0.03487006697701667,,189.30088727207286,-0.16260777106930524,,0.025,valid,True,SPG,reit,226.06,0.06
bear,0.25,169.18980590685734,-0.13145780657889072,,169.18980590685734,-0.5057409777486567,0.07756251085655722,0.025,valid,True,TRV,insurance,342.31,
base,0.5,343.82960696952733,0.0008862818822166219,,343.82960696952733,0.004439271331621475,0.1318181818181818,0.025,valid,True,TRV,insurance,342.31,
bull,0.25,454.82435312507187,0.05848528486041915,,454.82435312507187,0.32869139997391805,0.1663011255070791,0.025,valid,True,TRV,insurance,342.31,
bear,0.25,54.08157067523871,-0.26518464158574706,,54.08157067523871,-0.7857646542733374,0.05234949313530288,0.025,valid,True,AJG,insurance,252.44,
base,0.5,128.4817895807735,-0.12635160956979663,,128.4817895807735,-0.4910402884615216,0.08997429305912596,0.025,valid,True,AJG,insurance,252.44,
bull,0.25,176.19439640721583,-0.06939199463130141,,176.19439640721583,-0.30203455709390015,0.11410294902408015,0.025,valid,True,AJG,insurance,252.44,
bear,0.25,0.0,-0.95,,0.0,-1.0,0.0,0.025,valid,True,ALL,insurance,250.33,
base,0.5,100.70506592374318,-0.1664960088464965,,100.70506592374318,-0.5977107581043296,0.0641010365781008,0.025,valid,True,ALL,insurance,250.33,
bull,0.25,319.0281187646854,0.049695203463850035,,319.0281187646854,0.27443022715889187,0.14886993669917836,0.025,valid,True,ALL,insurance,250.33,
bear,0.25,8.041918317521702,-0.3088187229787369,,8.041918317521702,-0.842253465721426,0.03509051274573242,0.025,valid,True,TFC,bank,50.98,
base,0.5,44.9570920925769,-0.02483147290871912,,44.9570920925769,-0.11814256389609845,0.08140944024298578,0.025,valid,True,TFC,bank,50.98,
bull,0.25,72.14003394037731,0.07190254542893237,,72.14003394037731,0.4150653970258398,0.11551695170379128,0.025,valid,True,TFC,bank,50.98,
bear,0.25,109.31752411161331,-0.01990749709115469,,109.31752411161331,-0.095652513967461,0.12439611917762271,0.025,valid,True,AFL,insurance,120.88,
base,0.5,201.8824234118087,0.10802309229676066,,201.8824234118087,0.6701060838170807,0.20856004291516592,0.025,valid,True,AFL,insurance,120.88,
bull,0.25,260.040646110242,0.1655673059686813,,260.040646110242,1.1512296997869127,0.2614399602154342,0.025,valid,True,AFL,insurance,120.88,
bear,0.25,116.21337274097745,-0.07680911359236875,,116.21337274097745,-0.3294092744317516,,0.025,valid,True,DLR,reit,173.3,0.039999999999999994
base,0.5,182.13009760212327,0.009988971408750213,,182.13009760212327,0.05095266937174414,,0.025,valid,True,DLR,reit,173.3,0.06
bull,0.25,182.13009760212327,0.009988971408750213,,182.13009760212327,0.05095266937174414,,0.025,valid,True,DLR,reit,173.3,0.06
bear,0.25,64.9977524417135,0.003601015801442564,,64.9977524417135,0.01813521995165246,,0.025,valid,True,O,reit,63.84,0.039999999999999994
base,0.5,127.58818071891909,0.14853309339004084,,127.58818071891909,0.9985617280532437,,0.025,valid,True,O,reit,63.84,0.06
bull,0.25,127.58818071891909,0.14853309339004084,,127.58818071891909,0.9985617280532437,,0.025,valid,True,O,reit,63.84,0.06
bear,0.25,26.15286424750955,-0.2190963309076739,,26.15286424750955,-0.7096062153285637,0.061161377753433804,0.025,valid,True,MET,insurance,90.06,
