as_of,ticker,rank,entry_price,robust_return,expected_irr,median_irr,p10_irr,p90_irr,business_quality,evidence_confidence
2026-07-02,UHS,1,158.33,0.13695655273677107,0.2800254860034329,0.2983985316357575,0.12720271989819595,0.3961021608440206,0.7829,0.7677
2026-07-02,FOXA,2,56.48,0.12831436818894038,0.28794399957405403,0.31076018144376577,0.11767130412627014,0.41258433128241445,0.901,0.6848550000000001
2026-07-02,CTSH,3,41.99,0.11643357470137636,0.24386586547188935,0.25340235414914797,0.15112261025933554,0.31753614332992586,0.8706,0.8728
2026-07-02,VICI,4,27.185,0.10195219602507703,0.28621077101029957,0.33240040838557716,0.1476418588844668,0.33240040838557716,0.4740870752279265,0.48
2026-07-02,OMC,5,78.62,0.07884530982584007,0.2497908066638047,0.2565579729154706,0.1656032134662383,0.3204440673580393,0.8027,0.5773761000000001
2026-07-02,ARE,6,52.58,0.06440966117028947,0.23084687824900696,0.25418679410476974,0.1608271306817186,0.25418679410476974,0.6792452830188679,0.48
2026-07-02,TTD,7,19.1,0.06328622742901555,0.24529631539480762,0.2748973868321627,0.07284439061768354,0.35854609729722153,0.9118,0.713
2026-07-02,ACN,8,137.35,0.05624867470891978,0.18987851096026137,0.20051923185237686,0.10535149106290195,0.2531240890733898,0.9914,0.8805
2026-07-02,CMCSA,9,23.79,0.02970226474420366,0.18892252802033915,0.18433135792147373,0.14855256511364134,0.2384748311247677,0.7638,0.4617074115
2026-07-02,BXP,10,69.32,0.026389375384523774,0.1812841148906808,0.20680439848341248,0.10472326411248578,0.20680439848341248,0.6428106701366297,0.48
